phase,module,category,dir,purpose,input_contract,output_contract,shared_deps,isolation_rule,freeze_kind,freeze_value,shape_or_filecount,validation_authority,status,frozen_at
P7_documentation,data_use_terms,doc,docs/data_use_terms.md,Non-mvp human-readable doc: data_use_terms.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,843e845d7fdd7bbaad79b4c0dafa2004cb1977dd49c5773360c95d57ed27042f,1 files,human review,OK,2026-07-12
P7_documentation,de_and_baseline_spec,doc,docs/de_and_baseline_spec.md,Non-mvp human-readable doc: de_and_baseline_spec.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,36894eebeb99ca67cdbaa45dee8d184e372a50b2f4c2da383f48267f777dbb06,1 files,human review,OK,2026-07-12
P7_documentation,def_followup_plan,doc,docs/def_followup_plan.md,Non-mvp human-readable doc: def_followup_plan.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,a9656377861532d14a7c95f3ccb56c85349d7bc9bc7422de6e17822ba197659f,1 files,human review,OK,2026-07-12
P7_documentation,documentation_index,doc,docs/documentation_index.md,Named authority doc: documentation_index.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,c95608395d65f6c3b602bd1e43c964d4c100e46198f16fda80bbe41111055146,1 files,human review + matches code,OK,2026-07-12
P7_documentation,explainer,doc,docs/explainer/,Human-readable explainer bundle (index.html + README),— (no upstream module; leaf doc/reference),Static HTML explainer,none,Edit under docs/explainer/ only; combined sha re-pinned on change,module_blob_sha256,bf761c3fd5844b325a097855d7dc9ed47e0dcd9039d62d9dd63deb678b9d59be,2 files,human review / renders in browser,OK,2026-07-12
P7_documentation,external_overlay_integration_concept,doc,docs/external_overlay_integration_concept.md,Non-mvp human-readable doc: external_overlay_integration_concept.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,8ab01d727ee993a1a1d5abd6469b4a04a16e61b283be059a105cc66ef674823a,1 files,human review,OK,2026-07-12
P7_documentation,external_qa_review_2026-07-10,doc,docs/external_qa_review_2026-07-10.md,Non-mvp human-readable doc: external_qa_review_2026-07-10.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,cdc38e683265507d662d876c834f0f4149ea34b5d824edad697d2215cd649565,1 files,human review,OK,2026-07-12
P7_documentation,figure_guide,doc,docs/figure_guide.md,Non-mvp human-readable doc: figure_guide.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,1c747029b26ead30cb87dbc5e224f05c2b2173e500804f055dff33d79117e3a1,1 files,human review,OK,2026-07-12
P7_documentation,frontend_design,doc,docs/frontend_design.md,Non-mvp human-readable doc: frontend_design.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,3f75757b3574a1c86225199b8306f6da3e3957ab72dfa7b0fbe40a4ee4c2e5b5,1 files,human review,OK,2026-07-12
P7_documentation,frontend_disclosure_spec,doc,docs/frontend_disclosure_spec.md,Non-mvp human-readable doc: frontend_disclosure_spec.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,d8ebcb7f1af1e41352075e15bdb8e9a080bd21ae6441333030d9398fc7b8ed20,1 files,human review,OK,2026-07-12
P7_documentation,frontend_fix_plan,doc,docs/frontend_fix_plan.md,Non-mvp human-readable doc: frontend_fix_plan.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,589d5444fe4f9454d41ca26756728d24a20b392520f38af0db9f1deb2aae0aa2,1 files,human review,OK,2026-07-12
P7_documentation,human_validation_protocol,doc,docs/human_validation_protocol.md,Non-mvp human-readable doc: human_validation_protocol.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,f702d8ce34cd86b72da06a3b041ba3ffe041e05a76631a1edb4b6cc88444746b,1 files,human review,OK,2026-07-12
P7_documentation,improvement_roadmap,doc,docs/improvement_roadmap.md,Non-mvp human-readable doc: improvement_roadmap.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,74e6a2593b4dda66991cea11606cf6da0a497c70da26062634b122784042221d,1 files,human review,OK,2026-07-12
P7_documentation,ml_feasibility_assessment,doc,docs/ml_feasibility_assessment.md,Non-mvp human-readable doc: ml_feasibility_assessment.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,92e84e3ccd9084b1ca5316a02473294a8ece40669f5633b60b7f4d9fb6eb3e3f,1 files,human review,OK,2026-07-12
P7_documentation,next_phases_plan,doc,docs/next_phases_plan.md,Non-mvp human-readable doc: next_phases_plan.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,1ae929b12e0e1a91150c566486eba164bad16f5135c81f9fa2389d271db6178f,1 files,human review,OK,2026-07-12
P7_documentation,perturbation_validation_plan,doc,docs/perturbation_validation_plan.md,Non-mvp human-readable doc: perturbation_validation_plan.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,466e1d07866b6abb3aad86d3f47cc1e2b336c29091cce5f4885a325ca3ac335a,1 files,human review,OK,2026-07-12
P7_documentation,researcher_guide,doc,docs/researcher_guide/,Human-readable researcher_guide bundle (index.html + README),— (no upstream module; leaf doc/reference),Static HTML explainer,none,Edit under docs/researcher_guide/ only; combined sha re-pinned on change,module_blob_sha256,1c27e1c43b83b1befcf173c74d58b3c9c2baf8b3927571b5ffda2f909da6d1cd,2 files,human review / renders in browser,OK,2026-07-12
P7_documentation,server_modules,doc,docs/server_modules.md,Non-mvp human-readable doc: server_modules.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,62e6cc1ce1e0d8e4ed34e1485022aa9c2639266d3e0a4365249caeb97f5a40bf,1 files,human review,OK,2026-07-12
P7_documentation,server_northstar,doc,docs/server_northstar.md,Non-mvp human-readable doc: server_northstar.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,cf49f6f2c26ab13c689adb135f7716da0221ad188393a38b79bf9a9bbf5c8376,1 files,human review,OK,2026-07-12
P7_documentation,slides,doc,docs/slides/,Human-readable slides bundle (index.html + README),— (no upstream module; leaf doc/reference),Static HTML explainer,none,Edit under docs/slides/ only; combined sha re-pinned on change,module_blob_sha256,bfed93143d4fb3580befb2e5135b57e8fe1a9d22c6fcef6aea6bee5d56f985e0,3 files,human review / renders in browser,OK,2026-07-12
P7_documentation,technical_methods,doc,docs/technical_methods.md,Named authority doc: technical_methods.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,aa4bfc5f68008454ad0ebdab19fb162c55e8c4ebed164152f87b2844dc79a3c0,1 files,human review + matches code,OK,2026-07-12
P7_documentation,tier2-gene-for-Claude science,doc,docs/tier2-gene-for-Claude science.md,Non-mvp human-readable doc: tier2-gene-for-Claude science.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,fd11ca1921d89a5e81285bfa7c2b8042eabe9e47ed3440e65e4349a06e553ec3,1 files,human review,OK,2026-07-12
P7_documentation,ux_flow_stepwise_plan,doc,docs/ux_flow_stepwise_plan.md,Non-mvp human-readable doc: ux_flow_stepwise_plan.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,4b9724746026b4208dda5652511790c899e709343f7523c835b51b565026e8e5,1 files,human review,OK,2026-07-12
P7_documentation,ux_trust_fix_plan,doc,docs/ux_trust_fix_plan.md,Non-mvp human-readable doc: ux_trust_fix_plan.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,42ecb8fb07f5345c73b84b9c94f57d40e31fa99407b77c47e3ecac24b7a083da,1 files,human review,OK,2026-07-12
P7_documentation,validation_report,doc,docs/validation_report.md,Non-mvp human-readable doc: validation_report.md,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,dda8ca6892a58c6840a4664cbf21653fc478085b618b0788f22fb357c750f486,1 files,human review,OK,2026-07-12
P7_documentation,validation_status,doc,docs/validation_status.csv,Non-mvp human-readable doc: validation_status.csv,n/a (human-readable spec),Prose/spec content; no machine contract,cross-references other docs,Edit this md/csv only; no code re-validation (unless it pins numbers e.g. validation_status.csv),module_blob_sha256,ae7663b4755e8a3ad50c53f94cd147b59763eee804cb786fbc6477cc9c448fc4,1 files,human review,OK,2026-07-12
P7_documentation,wiki,doc,wiki/,Project wiki: Home/Manual/Map/Plan/Roadmap/Maintenance/Development-Guide/Tech-Debt/_Sidebar,— (no upstream module; leaf doc/reference),Human-readable wiki pages,none,Edit under wiki/ only; combined sha re-pinned on deliberate change,module_blob_sha256,9076246bc1901eb841833e8925c9deffdc62a42a7605ca6645b06fab81b1d57b,10 files,human review,OK,2026-07-12
P8_readme_reference,DATA_LICENSE,doc,DATA_LICENSE.md,Data usage license/terms,— (no upstream module; leaf doc/reference),Human-readable reference,none,Edit file only; blob sha re-pinned on change,module_blob_sha256,be7dac87058a4a888c55f221c0f60eac659554582eb608d06b56b121015a242f,1 files,legal,OK,2026-07-12
P8_readme_reference,LICENSE,doc,LICENSE,Code license,— (no upstream module; leaf doc/reference),Human-readable reference,none,Edit file only; blob sha re-pinned on change,module_blob_sha256,0dabb0e788437f639c2231db76f455a4b9a9a4cfe93258900818a74b550d8edf,1 files,legal,OK,2026-07-12
P8_readme_reference,README,doc,README.md + docs/readme_assets/,Top-level repo README / entry point + its embedded highlight figures,— (no upstream module; leaf doc/reference),Human-readable reference,none,Edit file only; blob sha re-pinned on change,module_blob_sha256,9e0053b85f7876e2ba16816b88669ea9057ea60f39b346d084580e1a4887c490,4 files,human review,OK,2026-07-13
P8_readme_reference,literature_reference_corpus,reference,sources/topic*,"Literature & PMID reference corpus: topic01-16 PubMed/OpenAlex/ClinicalTrials JSON dumps, summary md, target/inventory csv",External literature (PubMed/OpenAlex/ClinicalTrials) — frozen snapshots,Reference corpus consumed by docs/target tool,external DB snapshots,Append/replace whole topic files; combined sha re-pinned on deliberate corpus change; individual PMIDs are immutable snapshots,module_blob_sha256,e6d6618ab8c3a81b97b76f3b43100b04c512404bf19d96bb12c2eb7a5cc90aaa,60 files,snapshot immutability / human review,OK,2026-07-12
P8_readme_reference,project_decision_log,doc,sources/project_decision_log.md,Chronological project decision log,— (no upstream module; leaf doc/reference),Human-readable reference,none,Edit file only; blob sha re-pinned on change,module_blob_sha256,64020c427e461d4bb32535a8635f223df5603e651bbd2e157094669c70d15a5b,1 files,human review,OK,2026-07-12
P8_readme_reference,provenance_registry,doc,docs/provenance_registry.md,Provenance registry (human-readable),— (no upstream module; leaf doc/reference),Human-readable reference,none,Edit file only; blob sha re-pinned on change,module_blob_sha256,3e7be1abe44ea2eda18c4afdaaf96c05b6983f6acfbc4861672b2320b0463645,1 files,human review,OK,2026-07-12
P8_readme_reference,provenance_registry_csv,data,docs/provenance_registry.csv,Machine-readable provenance registry (source->artifact mapping),Records for each pipeline/source artifact,CSV provenance table,consumed by docs + audits,Edit CSV only; both git blob sha and content md5 re-pinned on change,module_blob_sha256,d58a5c0e9b906d4f8890d72b16ca29148fcfcaf099b40f495ac74190776c2c7a,1 files,schema check + human review,OK,2026-07-12
P9_limitation,KNOWN_LIMITATIONS,doc,docs/KNOWN_LIMITATIONS.md,Known platform limitations — honest boundary statement,n/a (honest boundary declaration),Human-readable limitation statement,none,Edit md only; blob sha re-pinned on change,module_blob_sha256,551f3747f8631cf26ec9c9cbdecf217faaa3f4076ccd5e7a6676b3608909d2a2,1 files,human review,OK,2026-07-12
P9_limitation,sandbox_blocked_tasks,doc,docs/sandbox_blocked_tasks.md,Sandbox-blocked tasks (network/compute limits encountered),n/a (honest boundary declaration),Human-readable limitation statement,none,Edit md only; blob sha re-pinned on change,module_blob_sha256,d6deff74a247e5e01f4ff3fc09e88cf75f63338991591d534f77da46bebd929b,1 files,human review,OK,2026-07-12
P9_limitation,topic12_paper_limitations_future_work,doc,sources/topic12_paper_limitations_future_work.md,Paper-level limitations & future work synthesis,n/a (honest boundary declaration),Human-readable limitation statement,none,Edit md only; blob sha re-pinned on change,module_blob_sha256,314cdc011978c701111f804ebacb640dd1b62906ff59f60bff721e7f55dccf14,1 files,human review,OK,2026-07-12
P9_limitation,topic15_limitation_future_work_audit_table,doc,sources/topic15_limitation_future_work_audit_table.md,Limitation/future-work audit table,n/a (honest boundary declaration),Human-readable limitation statement,none,Edit md only; blob sha re-pinned on change,module_blob_sha256,ba38ba0b2669338e5d7cc96f1a762aea3b40afecdf1a74cff566a964de0487ef,1 files,human review,OK,2026-07-12
P0_shared_infra,shared_test_utils,shared dependency,tests/ + src/_misc/ + src/utils.py,跨模組共用:pytest 測試套件、golden fixtures、src/utils.py、_misc 腳本,各模組輸出(測試讀取),pytest pass/fail;golden fixtures 為契約錨,所有 src/ 階段,"共用層——修改須保守,漣漪及多模組;變更 golden fixture = 蓄意契約變更",module_blob_sha256,b79a18c398ef62e25234b6ed50edf4b232f1cbbf3f759cbefce761ac8dc68118,54 files,pytest + golden fixtures,OK,2026-07-12
P3_statistics,pipeline_validation_audits,statistics,docs/mvp-research/pipeline/reproducibility_audit/ + docs/mvp-research/pipeline/_validation/ + docs/mvp-research/pipeline/methodological_validation/,統計可重現性稽核:R×Python parity、third-party recompute、方法學驗證,上游 04_statistical 輸出,parity/verification 報告,04_statistical,僅編輯稽核資料夾;為 P3 的 validation authority 錨點,module_blob_sha256,7758d476d31487cd87f015057d61a19c001170f56408a2e618c718eaf65ce68b,21 files,R×Python parity + third-party recompute,OK,2026-07-12
P3_statistics,analysis_products,statistics,docs/mvp-research/pipeline/kinetics_avoid/ + docs/mvp-research/pipeline/blindspot_fixes/ + docs/mvp-research/pipeline/delivery/ + docs/mvp-research/pipeline/delivery_decision/ + docs/mvp-research/pipeline/context_specific/,下游分析產物:kinetics/avoid 分層、盲點修復、遞送決策、context-specific shortlist,gate-passing targets + 統計,分析 csv/md 產物,04_statistical,"僅編輯各分析資料夾;產物為衍生,不改上游契約",module_blob_sha256,6a627d9b7523f45b7c59cf24525292427bfc738fadcc1d97c5edef50970a8dc3,22 files,pinned md5 + 第三方重算,OK,2026-07-12
P5_informative_figure_server,ui_prototypes,informative figure and server,docs/mvp-research/pipeline/ui_prototypes/,Entry A/B 互動 UI 原型(rank board 等),排名/statistics 輸出,HTML 原型,07_dashboard,僅編輯原型資料夾,module_blob_sha256,7f7897815b8733b4dc38a35107083df99ca8de2a4c67e885ee09f09d827d2486,10 files,視覺/功能檢視,OK,2026-07-12
P4_figure_visualization,pipeline_viz_extra,figure and visualization,docs/mvp-research/pipeline/cover/ + docs/mvp-research/pipeline/generative_art/,視覺化階段補充:封面、生成藝術(05_visualization/06_animation 由 viz_pipeline_05/06 各自擁有),processed/statistical 輸出,png/gif/md,figure_map.md,僅編輯視覺化資料夾;唯讀 render 不產新統計,module_blob_sha256,d1844580702393102ea0bba26d7d9a33c6b76ec318d12a684bd48dab6e01a00a,5 files,視覺稽核 vs catalog,OK,2026-07-12
P4_figure_visualization,pipeline_root_docs,figure and visualization,docs/mvp-research/pipeline/STAGE_SUMMARY_AND_FREEZE.md + docs/mvp-research/pipeline/PIPELINE_LINEAGE.md + docs/mvp-research/pipeline/FREEZE_MANIFEST.csv + docs/mvp-research/pipeline/EDA_INDEX.md + docs/mvp-research/pipeline/_docs/,pipeline 根層文件:階段摘要、lineage、舊 freeze manifest、EDA 索引,各階段,文件,—,僅編輯根文件;舊 FREEZE_MANIFEST.csv 由 v2 統一版取代但保留供 lineage,module_blob_sha256,54561169df0f41654dd6b37ecc28216c4327d2605ecb9ca1e613caf4af272d41,7 files,文件審查,OK,2026-07-12
P3_statistics,perturbase_review,statistics,docs/mvp-research/perturbase_review/,平行審查交付:review summary、源論文/相關論文清單、可重現 bundle,各分析輸出,審查 md/csv,—,僅編輯 review 資料夾,module_blob_sha256,a6c4782f94a8a7303fa8c4609231ac05167f1a953adb22a2914bb53209d2e7fb,13 files,審查記錄,OK,2026-07-12
P3_statistics,disease_expansion,statistics,docs/mvp-research/disease_expansion/,621 基因三源疾病擴充 + top50 結構資產,signed 排名 + 外部 API,擴充 csv/zip,signed_de_application,僅編輯擴充資料夾,module_blob_sha256,344f21c3ed4fb99b93f41c02b3c0a253c10a68d0f08331ef861b7f95a3797ca2,11 files,三源交叉核對,OK,2026-07-12
P3_statistics,closure_audit,statistics,docs/mvp-research/closure_audit/,收尾三軸稽核:後端完整性、前端覆蓋、順序驗證矩陣、舊隔離政策,全模組,稽核 md/csv,—,僅編輯稽核資料夾;舊 MODULE_ISOLATION_POLICY.md 由 v2 取代,module_blob_sha256,981119e023ede5da8d32333d37cafda34a9fd78581b0c2b65ed563434a45d64b,8 files,稽核記錄,OK,2026-07-12
P8_readme_reference,mvp_research_root,readme and reference,docs/mvp-research/,mvp-research 根層散置文件:MVP 簡報、模組定位、任務 runbook、資料清單、demo,各來源,md/csv/json,—,僅編輯根層散檔,module_blob_sha256,00131b72f3d5a8dfeb7b56af3cc39fc99a06f57c65ba22019c640537e06ce3d5,142 files,文件審查,OK,2026-07-12
P7_documentation,structure_governance,documentation,docs/structure/PHASE_MODULE_MAP.md + docs/structure/MODULE_ISOLATION_POLICY_v2.md + docs/structure/STRUCTURE_REVIEW.md,全倉結構治理文件:PHASE_MODULE_MAP、MODULE_ISOLATION_POLICY_v2、FREEZE_MANIFEST_UNIFIED、STRUCTURE_REVIEW,全模組 manifest,治理 md/csv(本層自我描述),—,"僅編輯 docs/structure/;此為結構真值層,變更即重新凍結",module_blob_sha256,ba86f2e849c80983e5f583c975c767dcb1a059c62c54a0935b094fe8f7f4bc0b,3 files,validate_freeze_unified.py 自我一致,OK,2026-07-12
P7_documentation,manuscript,doc,docs/manuscript/,Perturbase manuscript draft + literature appraisal + handling-editor narrative review + figure deck,— (no upstream module; synthesizes P3_statistics/P4_figure_visualization outputs into a human-readable manuscript),PERTURBASE_MANUSCRIPT.md + NARRATIVE_REVIEW.md + LITERATURE_APPRAISAL.md + figure_deck.pdf,none,Edit under docs/manuscript/ only; combined sha re-pinned on deliberate change,module_blob_sha256,fc96356b084d11016c11c6b6bbb1d4043db1982b43ff86c0c14fdfcc6e5b9745,4 files,human review,OK,2026-07-12
